id,label,lang,text,group_id,is_augmented
chq-011,cheque,en,"The company I worked for gave me my final settlement cheque of Rs 94,000 after I resigned. It bounced due to insufficient funds and HR has stopped responding to my emails.",chq-011,False
chq-011-v1,cheque,en,"The firm I worked for gave me my final settlement cheque of Rs 141,000 after I resigned. It came back unpaid due to insufficient funds and HR has stopped responding to my emails.",chq-011,True
chq-011-v2,cheque,en,"The firm I worked for gave me my final settlement cheque of Rs 188,000 after I resigned. It was dishonoured due to insufficient funds and HR has stopped responding to my emails. Please advise.",chq-011,True
chq-011-v3,cheque,en,"The firm I worked for gave me my final settlement cheque of Rs 235,000 after I resigned. It was dishonoured due to insufficient funds and HR has stopped responding to my emails. Kindly guide me on the next steps.",chq-011,True
chq-012,cheque,en,"I received a cheque of Rs 65,000 from a client for a website project. It was returned unpaid. I sent a legal notice fifteen days ago and he has neither replied nor paid.",chq-012,False
chq-012-v1,cheque,en,"I received a cheque of Rs 39,000 from a client for a website project. It was returned unpaid. I sent a legal notice fifteen days ago and he has neither replied nor paid.",chq-012,True
chq-012-v2,cheque,en,"I received a cheque of Rs 98,000 from a client for a website project. It was returned unpaid. I sent a legal notice fifteen days ago and he has neither replied nor paid.",chq-012,True
chq-012-v3,cheque,en,"Sir, I received a cheque of Rs 98,000 from a client for a website project. It was returned unpaid. I sent a legal notice fifteen days ago and he has neither replied nor paid.",chq-012,True
chq-013,cheque,en,"A chit fund organiser in our locality gave members cheques when the fund matured. Mine for Rs 1 lakh bounced, and I know at least four others whose cheques also bounced.",chq-013,False
chq-013-v1,cheque,en,"A chit fund organiser in our locality gave members cheques when the fund matured. Mine for Rs 1 lakh was dishonoured, and I know at least four others whose cheques also bounced. Kindly guide me on the next steps.",chq-013,True
chq-013-v2,cheque,en,"A chit fund organiser in our locality gave members cheques when the fund matured. Mine for Rs 1 lakh came back unpaid, and I know at least four others whose cheques also bounced.",chq-013,True
chq-013-v3,cheque,en,"I need some guidance. A chit fund organiser in our locality gave members cheques when the fund matured. Mine for Rs 1 lakh was dishonoured, and I know at least four others whose cheques also bounced.",chq-013,True
chq-015,cheque,en,"The buyer of my agricultural land paid part of the price by cheque, Rs 7 lakhs. It was dishonoured. Registration is already done in his name. I feel cheated and do not know the next step.",chq-015,False
chq-015-v1,cheque,en,"The buyer of my agricultural land paid part of the price by cheque, Rs 7 lakhs. It was dishonoured. Registration is already done in his name. I feel cheated and do not know the next step. Please advise.",chq-015,True
chq-015-v2,cheque,en,"The buyer of my agricultural land paid part of the price by cheque, Rs 7 lakhs. It was dishonoured. Registration is already done in his name. I feel cheated and do not know the next step. Is there any legal option for me?",chq-015,True
chq-015-v3,cheque,en,"The buyer of my agricultural land paid part of the price by cheque, Rs 7 lakhs. It was dishonoured. Registration is already done in his name. I feel cheated and do not know the next step. What should I do now?",chq-015,True
chq-016,cheque,en,"I gave my shop's old furniture and equipment to another shopkeeper for Rs 55,000. His cheque bounced twice. The bank memo says payment stopped by drawer. He is openly refusing to pay now.",chq-016,False
chq-016-v1,cheque,en,"I gave my shop's old furniture and equipment to another seller for Rs 44,000. His cheque came back unpaid twice. The bank memo says payment stopped by drawer. He is openly refusing to pay now.",chq-016,True
chq-016-v2,cheque,en,"Please help me with this. I gave my store's old furniture and equipment to another shopkeeper for Rs 82,000. His cheque was dishonoured twice. The bank memo says payment stopped by drawer. He is openly refusing to pay now.",chq-016,True
chq-016-v3,cheque,en,"I gave my store's old furniture and equipment to another shopkeeper for Rs 22,000. His cheque came back unpaid twice. The bank memo says payment stopped by drawer. He is openly refusing to pay now.",chq-016,True
chq-017,cheque,hi-rom,"Meri kirana dukaan hai. Ek regular customer ne mahine bhar ka udhaar chukane ke liye 48,000 ka cheque diya. Bank ne lauta diya, account me paise nahi the. Wo ab dukaan pe aana band ho gaya hai.",chq-017,False
chq-017-v1,cheque,hi-rom,"Meri kirana dukaan hai. Ek regular customer ne mahine bhar ka udhaar chukane ke liye 29,000 ka cheque diya. Bank ne lauta diya, account me paise nahi the. Wo ab dukaan pe aana band ho gaya hai. Kindly guide me on the next steps.",chq-017,True
chq-017-v2,cheque,hi-rom,"Meri kirana dukaan hai. Ek regular customer ne mahine bhar ka udhaar chukane ke liye 72,000 ka cheque diya. Bank ne lauta diya, account me paise nahi the. Wo ab dukaan pe aana band ho gaya hai.",chq-017,True
chq-017-v3,cheque,hi-rom,"Meri kirana dukaan hai. Ek regular customer ne mahine bhar ka udhaar chukane ke liye 72,000 ka cheque diya. Bank ne lauta diya, account me paise nahi the. Wo ab dukaan pe aana band ho gaya hai. Is there any legal option for me?",chq-017,True
chq-018,cheque,en,A transporter owed my firm freight charges and settled with a cheque of Rs 2.2 lakhs. It bounced. Within what time do I have to send the notice? The memo is dated the 3rd of this month.,chq-018,False
chq-018-v1,cheque,en,A transporter owed my firm freight charges and settled with a cheque of Rs 2.2 lakhs. It was dishonoured. Within what time do I have to send the notice? The memo is dated the 3rd of this month.,chq-018,True
chq-018-v2,cheque,en,A transporter owed my firm freight charges and settled with a cheque of Rs 2.2 lakhs. It came back unpaid. Within what time do I have to send the notice? The memo is dated the 3rd of this month.,chq-018,True
chq-018-v3,cheque,en,A transporter owed my firm freight charges and settled with a cheque of Rs 2.2 lakhs. It came back unpaid. Within what time do I have to send the notice? The memo is dated the 3rd of this month. Kindly guide me on the next steps.,chq-018,True
chq-019,cheque,en,"My employer has been paying salary by cheque for the last year. The cheques for the last two months, Rs 38,000 each, both bounced. He says the company account has a temporary freeze and to be patient.",chq-019,False
chq-019-v1,cheque,en,"My employer has been paying salary by cheque for the last year. The cheques for the last two months, Rs 15,000 each, both came back unpaid. He says the firm account has a temporary freeze and to be patient.",chq-019,True
chq-019-v2,cheque,en,"My employer has been paying salary by cheque for the last year. The cheques for the last two months, Rs 57,000 each, both came back unpaid. He says the firm account has a temporary freeze and to be patient.",chq-019,True
chq-019-v3,cheque,en,"My employer has been paying salary by cheque for the last year. The cheques for the last two months, Rs 76,000 each, both came back unpaid. He says the firm account has a temporary freeze and to be patient.",chq-019,True
chq-020,cheque,en,"I am a milk supplier. The sweet shop I supply to gave a cheque for the quarterly bill of Rs 74,000 which was dishonoured for insufficient funds. He wants to adjust it against future supply instead of paying.",chq-020,False
chq-020-v1,cheque,en,"I am a milk supplier. The sweet store I supply to gave a cheque for the quarterly bill of Rs 185,000 which was dishonoured for insufficient funds. He wants to adjust it against future supply instead of paying.",chq-020,True
chq-020-v2,cheque,en,"I am a milk supplier. The sweet store I supply to gave a cheque for the quarterly bill of Rs 44,000 which was dishonoured for insufficient funds. He wants to adjust it against future supply instead of paying. Is there any legal option for me?",chq-020,True
chq-020-v3,cheque,en,"I need some guidance. I am a milk supplier. The sweet store I supply to gave a cheque for the quarterly bill of Rs 111,000 which was dishonoured for insufficient funds. He wants to adjust it against future supply instead of paying.",chq-020,True
chq-022,cheque,en,A distributor collected Rs 4 lakhs from me as franchise deposit and when the deal fell through he refunded by cheque. It bounced with the remark refer to drawer. He has now switched off his phone.,chq-022,False
chq-022-v1,cheque,en,A distributor collected Rs 4 lakhs from me as franchise deposit and when the deal fell through he refunded by cheque. It was dishonoured with the remark refer to drawer. He has now switched off his mobile.,chq-022,True
chq-022-v2,cheque,en,A distributor collected Rs 4 lakhs from me as franchise deposit and when the deal fell through he refunded by cheque. It was dishonoured with the remark refer to drawer. He has now switched off his mobile. What should I do now?,chq-022,True
chq-022-v3,cheque,en,A distributor collected Rs 4 lakhs from me as franchise deposit and when the deal fell through he refunded by cheque. It came back unpaid with the remark refer to drawer. He has now switched off his mobile. Please advise.,chq-022,True
chq-023,cheque,en,"The contractor who built my house compound wall took an advance but abandoned the work, and returned the advance with a cheque of Rs 90,000 after panchayat mediation. That cheque has now bounced.",chq-023,False
chq-023-v1,cheque,en,"The contractor who built my house compound wall took an upfront payment but abandoned the work, and returned the advance with a cheque of Rs 72,000 after panchayat mediation. That cheque has now came back unpaid.",chq-023,True
chq-023-v2,cheque,en,"The contractor who built my house compound wall took an upfront payment but abandoned the work, and returned the advance with a cheque of Rs 36,000 after panchayat mediation. That cheque has now came back unpaid.",chq-023,True
chq-023-v3,cheque,en,"The contractor who built my house compound wall took an upfront payment but abandoned the work, and returned the advance with a cheque of Rs 225,000 after panchayat mediation. That cheque has now was dishonoured.",chq-023,True
chq-024,cheque,en,"I discounted a cheque for an acquaintance, giving him cash against his customer's cheque of Rs 1.5 lakhs. The cheque bounced and both of them are blaming each other. The cheque is in my name.",chq-024,False
chq-024-v1,cheque,en,"I discounted a cheque for an acquaintance, giving him cash against his customer's cheque of Rs 1.5 lakhs. The cheque was dishonoured and both of them are blaming each other. The cheque is in my name. Please advise.",chq-024,True
chq-024-v2,cheque,en,"I need some guidance. I discounted a cheque for an acquaintance, giving him cash against his customer's cheque of Rs 1.5 lakhs. The cheque was dishonoured and both of them are blaming each other. The cheque is in my name.",chq-024,True
chq-024-v3,cheque,en,"Please help me with this. I discounted a cheque for an acquaintance, giving him cash against his customer's cheque of Rs 1.5 lakhs. The cheque came back unpaid and both of them are blaming each other. The cheque is in my name.",chq-024,True
chq-025,cheque,en,"My tuition centre received a cheque of Rs 24,000 from a parent for the annual fee. It bounced twice. The parent says fees are disputed because his child left after two months, but he signed the annual contract.",chq-025,False
chq-025-v1,cheque,en,"Please help me with this. My tuition centre received a cheque of Rs 48,000 from a parent for the annual fee. It was dishonoured twice. The parent says fees are disputed because his child left after two months, but he signed the annual contract.",chq-025,True
chq-025-v2,cheque,en,"My tuition centre received a cheque of Rs 48,000 from a parent for the annual fee. It was dishonoured twice. The parent says fees are disputed because his child left after two months, but he signed the annual contract. What should I do now?",chq-025,True
chq-025-v3,cheque,en,"My tuition centre received a cheque of Rs 36,000 from a parent for the annual fee. It came back unpaid twice. The parent says fees are disputed because his child left after two months, but he signed the annual contract. Is there any legal option for me?",chq-025,True
chq-026,cheque,en,"A scrap dealer purchased machinery from my closed workshop and paid with a cheque of Rs 3 lakhs which was dishonoured, account closed. He has resold the machinery already.",chq-026,False
chq-026-v1,cheque,en,"A scrap dealer purchased machinery from my closed workshop and paid with a cheque of Rs 3 lakhs which was dishonoured, account closed. He has resold the machinery already. What should I do now?",chq-026,True
chq-026-v2,cheque,en,"A scrap dealer purchased machinery from my closed workshop and paid with a cheque of Rs 3 lakhs which was dishonoured, account closed. He has resold the machinery already. Kindly guide me on the next steps.",chq-026,True
chq-026-v3,cheque,en,"I need some guidance. A scrap dealer purchased machinery from my closed workshop and paid with a cheque of Rs 3 lakhs which was dishonoured, account closed. He has resold the machinery already.",chq-026,True
chq-027,cheque,en,"I received a legal notice saying my cheque of Rs 2 lakhs bounced, but I had given that cheque as blank security for a loan I already repaid in cash. The lender filled the amount and deposited it.",chq-027,False
chq-027-v1,cheque,en,"I received a legal notice saying my cheque of Rs 2 lakhs came back unpaid, but I had given that cheque as blank security for a loan I already repaid in cash. The lender filled the amount and deposited it.",chq-027,True
chq-027-v2,cheque,en,"I received a legal notice saying my cheque of Rs 2 lakhs was dishonoured, but I had given that cheque as blank security for a loan I already repaid in cash. The lender filled the amount and deposited it.",chq-027,True
chq-027-v3,cheque,en,"I need some guidance. I received a legal notice saying my cheque of Rs 2 lakhs came back unpaid, but I had given that cheque as blank security for a loan I already repaid in cash. The lender filled the amount and deposited it.",chq-027,True
chq-031,cheque,en,"I run a printing press. A political party worker got election banners printed worth Rs 88,000 and paid by cheque which bounced. Now elections are over and he says the party will pay someday.",chq-031,False
chq-031-v1,cheque,en,"I run a printing press. A political party worker got election banners printed worth Rs 176,000 and paid by cheque which came back unpaid. Now elections are over and he says the party will pay someday.",chq-031,True
chq-031-v2,cheque,en,"I run a printing press. A political party worker got election banners printed worth Rs 70,000 and paid by cheque which was dishonoured. Now elections are over and he says the party will pay someday.",chq-031,True
chq-031-v3,cheque,en,"I run a printing press. A political party worker got election banners printed worth Rs 220,000 and paid by cheque which came back unpaid. Now elections are over and he says the party will pay someday. Please advise.",chq-031,True
chq-033,cheque,en,I have received a court summons in a cheque bounce case. The cheque was from my closed proprietorship account and was given as security to a supplier whose bills I dispute. I never intended it as payment.,chq-033,False
chq-033-v1,cheque,en,I have received a court summons in a cheque bounce case. The cheque was from my closed proprietorship account and was given as security to a supplier whose bills I dispute. I never intended it as payment. Kindly guide me on the next steps.,chq-033,True
chq-033-v2,cheque,en,I need some guidance. I have received a court summons in a cheque bounce case. The cheque was from my closed proprietorship account and was given as security to a supplier whose bills I dispute. I never intended it as payment.,chq-033,True
chq-033-v3,cheque,en,I have received a court summons in a cheque bounce case. The cheque was from my closed proprietorship account and was given as security to a supplier whose bills I dispute. I never intended it as payment. What should I do now?,chq-033,True
chq-034,cheque,en,"A caterer friend borrowed my banquet crockery and equipment for a season, then bought them outright for Rs 1.1 lakhs by cheque. It bounced with insufficient funds and he keeps postponing.",chq-034,False
chq-034-v1,cheque,en,"A caterer friend borrowed my banquet crockery and equipment for a season, then bought them outright for Rs 1.1 lakhs by cheque. It was dishonoured with insufficient funds and he keeps postponing.",chq-034,True
chq-034-v2,cheque,en,"I need some guidance. A caterer friend borrowed my banquet crockery and equipment for a season, then bought them outright for Rs 1.1 lakhs by cheque. It was dishonoured with insufficient funds and he keeps postponing.",chq-034,True
chq-034-v3,cheque,en,"Please help me with this. A caterer friend borrowed my banquet crockery and equipment for a season, then bought them outright for Rs 1.1 lakhs by cheque. It was dishonoured with insufficient funds and he keeps postponing.",chq-034,True
chq-036,cheque,en,"An educational trust hired our bus service for a year. Their cheque for the final quarter, Rs 1.35 lakhs, bounced and the trustee says sign a fresh contract with a discount if you want the old dues.",chq-036,False
chq-036-v1,cheque,en,"An educational trust hired our bus service for a year. Their cheque for the final quarter, Rs 1.35 lakhs, was dishonoured and the trustee says sign a fresh contract with a discount if you want the old dues. Kindly guide me on the next steps.",chq-036,True
chq-036-v2,cheque,en,"An educational trust hired our bus service for a year. Their cheque for the final quarter, Rs 1.35 lakhs, came back unpaid and the trustee says sign a fresh contract with a discount if you want the old dues.",chq-036,True
chq-036-v3,cheque,en,"An educational trust hired our bus service for a year. Their cheque for the final quarter, Rs 1.35 lakhs, was dishonoured and the trustee says sign a fresh contract with a discount if you want the old dues.",chq-036,True
chq-038,cheque,en,"The pharmacy attached to a private hospital returned my excess advance of Rs 52,000 by cheque at discharge. It bounced a week later and the accounts desk says the file has gone for reprocessing.",chq-038,False
chq-038-v1,cheque,en,"The pharmacy attached to a private hospital returned my excess upfront payment of Rs 31,000 by cheque at discharge. It came back unpaid a week later and the accounts desk says the file has gone for reprocessing.",chq-038,True
chq-038-v2,cheque,en,"The pharmacy attached to a private hospital returned my excess upfront payment of Rs 21,000 by cheque at discharge. It was dishonoured a week later and the accounts desk says the file has gone for reprocessing. Kindly guide me on the next steps.",chq-038,True
chq-038-v3,cheque,en,"The pharmacy attached to a private hospital returned my excess upfront payment of Rs 104,000 by cheque at discharge. It came back unpaid a week later and the accounts desk says the file has gone for reprocessing.",chq-038,True
chq-039,cheque,en,"My export firm received a domestic buyer's cheque of Rs 6 lakhs against delivered garments. It was dishonoured for signature mismatch, and the buyer refuses to issue a fresh cheque or pay online.",chq-039,False
chq-039-v1,cheque,en,"My export firm received a domestic buyer's cheque of Rs 6 lakhs against delivered garments. It was dishonoured for signature mismatch, and the buyer refuses to issue a fresh cheque or pay online. Kindly guide me on the next steps.",chq-039,True
chq-039-v2,cheque,en,"Sir, My export firm received a domestic buyer's cheque of Rs 6 lakhs against delivered garments. It was dishonoured for signature mismatch, and the buyer refuses to issue a fresh cheque or pay online.",chq-039,True
chq-039-v3,cheque,en,"I need some guidance. My export firm received a domestic buyer's cheque of Rs 6 lakhs against delivered garments. It was dishonoured for signature mismatch, and the buyer refuses to issue a fresh cheque or pay online.",chq-039,True
chq-040,cheque,en,A wedding hall we run received a booking balance cheque of Rs 1.9 lakhs which bounced after the event was over. The customer's phone is switched off and the address on the contract is a rented house he left.,chq-040,False
chq-040-v1,cheque,en,Please help me with this. A wedding hall we run received a booking balance cheque of Rs 1.9 lakhs which was dishonoured after the event was over. The customer's mobile is switched off and the address on the contract is a rented house he left.,chq-040,True
chq-040-v2,cheque,en,A wedding hall we run received a booking balance cheque of Rs 1.9 lakhs which was dishonoured after the event was over. The customer's mobile is switched off and the address on the contract is a rented house he left.,chq-040,True
chq-040-v3,cheque,en,A wedding hall we run received a booking balance cheque of Rs 1.9 lakhs which came back unpaid after the event was over. The customer's mobile is switched off and the address on the contract is a rented house he left. Is there any legal option for me?,chq-040,True
chq-043,cheque,en,Our kirana wholesale firm holds a bounced cheque of Rs 2.4 lakhs from a retailer. The notice period passed with no payment. He has offered Rs 1 lakh as full and final. Should we accept or file the case?,chq-043,False
chq-043-v1,cheque,en,Our kirana wholesale firm holds a was dishonoured cheque of Rs 2.4 lakhs from a retailer. The notice period passed with no payment. He has offered Rs 1 lakh as full and final. Should we accept or file the case?,chq-043,True
chq-043-v2,cheque,en,Our kirana wholesale firm holds a came back unpaid cheque of Rs 2.4 lakhs from a retailer. The notice period passed with no payment. He has offered Rs 1 lakh as full and final. Should we accept or file the case?,chq-043,True
chq-043-v3,cheque,en,Please help me with this. Our kirana wholesale firm holds a came back unpaid cheque of Rs 2.4 lakhs from a retailer. The notice period passed with no payment. He has offered Rs 1 lakh as full and final. Should we accept or file the case?,chq-043,True
chq-044,cheque,en,The interior contractor gave my wife a refund cheque for cancelled work. It bounced with the remark drawer's signature differs. He claims his accountant signed it wrongly by mistake and wants three more months.,chq-044,False
chq-044-v1,cheque,en,The interior contractor gave my wife a money back cheque for cancelled work. It came back unpaid with the remark drawer's signature differs. He claims his accountant signed it wrongly by mistake and wants three more months. Kindly guide me on the next steps.,chq-044,True
chq-044-v2,cheque,en,Please help me with this. The interior contractor gave my wife a money back cheque for cancelled work. It came back unpaid with the remark drawer's signature differs. He claims his accountant signed it wrongly by mistake and wants three more months.,chq-044,True
chq-044-v3,cheque,en,"Hello, The interior contractor gave my wife a money back cheque for cancelled work. It was dishonoured with the remark drawer's signature differs. He claims his accountant signed it wrongly by mistake and wants three more months.",chq-044,True
chq-045,cheque,en,"I supplied packing material to a factory for eight months. Their cheque of Rs 5.2 lakhs bounced and the director says the company is going into insolvency, so I should file my claim there and forget the cheque.",chq-045,False
chq-045-v1,cheque,en,"I supplied packing material to a factory for eight months. Their cheque of Rs 5.2 lakhs was dishonoured and the director says the firm is going into insolvency, so I should file my claim there and forget the cheque.",chq-045,True
chq-045-v2,cheque,en,"I supplied packing material to a factory for eight months. Their cheque of Rs 5.2 lakhs was dishonoured and the director says the firm is going into insolvency, so I should file my claim there and forget the cheque. Kindly guide me on the next steps.",chq-045,True
chq-045-v3,cheque,en,"I supplied packing material to a factory for eight months. Their cheque of Rs 5.2 lakhs came back unpaid and the director says the firm is going into insolvency, so I should file my claim there and forget the cheque. Please advise.",chq-045,True
chq-047,cheque,en,"My mother's tenant runs a beauty parlour in our shop space. Her rent cheques for three consecutive months bounced, total Rs 66,000. She says business is slow and continues to occupy the shop.",chq-047,False
chq-047-v1,cheque,en,"My mother's tenant runs a beauty parlour in our store space. Her rent cheques for three consecutive months came back unpaid, total Rs 165,000. She says business is slow and continues to occupy the shop.",chq-047,True
chq-047-v2,cheque,en,"My mother's tenant runs a beauty parlour in our store space. Her rent cheques for three consecutive months was dishonoured, total Rs 132,000. She says business is slow and continues to occupy the shop.",chq-047,True
chq-047-v3,cheque,en,"Please help me with this. My mother's tenant runs a beauty parlour in our store space. Her rent cheques for three consecutive months came back unpaid, total Rs 26,000. She says business is slow and continues to occupy the shop.",chq-047,True
chq-048,cheque,en,"The travel operator who cancelled our group tour refunded everyone except us. Our refund cheque of Rs 96,000 bounced. Other families were paid online. He says our booking had a special discount so we must wait.",chq-048,False
chq-048-v1,cheque,en,"Hello, The travel operator who cancelled our group tour refunded everyone except us. Our money back cheque of Rs 144,000 came back unpaid. Other families were paid online. He says our booking had a special discount so we must wait.",chq-048,True
chq-048-v2,cheque,en,"The travel operator who cancelled our group tour refunded everyone except us. Our money back cheque of Rs 38,000 came back unpaid. Other families were paid online. He says our booking had a special discount so we must wait. Kindly guide me on the next steps.",chq-048,True
chq-048-v3,cheque,en,"The travel operator who cancelled our group tour refunded everyone except us. Our money back cheque of Rs 144,000 was dishonoured. Other families were paid online. He says our booking had a special discount so we must wait.",chq-048,True
chq-050,cheque,en,Our firm received a cheque of Rs 12 lakhs from a dealer against outstanding invoices. It bounced for insufficient funds. He admits liability on WhatsApp but wants us to take post dated cheques again.,chq-050,False
chq-050-v1,cheque,en,Our firm received a cheque of Rs 12 lakhs from a dealer against outstanding invoices. It was dishonoured for insufficient funds. He admits liability on WhatsApp but wants us to take post dated cheques again. Is there any legal option for me?,chq-050,True
chq-050-v2,cheque,en,Our firm received a cheque of Rs 12 lakhs from a dealer against outstanding invoices. It came back unpaid for insufficient funds. He admits liability on WhatsApp but wants us to take post dated cheques again.,chq-050,True
chq-050-v3,cheque,en,Please help me with this. Our firm received a cheque of Rs 12 lakhs from a dealer against outstanding invoices. It came back unpaid for insufficient funds. He admits liability on WhatsApp but wants us to take post dated cheques again.,chq-050,True
chq-051,cheque,en,"A jeweller friend took old gold from me to remake ornaments and later chose to buy it, giving a cheque of Rs 3.3 lakhs. The cheque bounced and he now claims the gold weighed less than agreed.",chq-051,False
chq-051-v1,cheque,en,"A jeweller friend took old gold from me to remake ornaments and later chose to buy it, giving a cheque of Rs 3.3 lakhs. The cheque came back unpaid and he now claims the gold weighed less than agreed.",chq-051,True
chq-051-v2,cheque,en,"A jeweller friend took old gold from me to remake ornaments and later chose to buy it, giving a cheque of Rs 3.3 lakhs. The cheque came back unpaid and he now claims the gold weighed less than agreed. Please advise.",chq-051,True
chq-051-v3,cheque,en,"A jeweller friend took old gold from me to remake ornaments and later chose to buy it, giving a cheque of Rs 3.3 lakhs. The cheque came back unpaid and he now claims the gold weighed less than agreed. What should I do now?",chq-051,True
chq-053,cheque,en,The buyer of my flat gave a cheque of Rs 10 lakhs towards the down payment after signing the agreement to sell. It bounced. He wants the agreement extended without any penalty.,chq-053,False
chq-053-v1,cheque,en,The buyer of my apartment gave a cheque of Rs 10 lakhs towards the down payment after signing the agreement to sell. It was dishonoured. He wants the agreement extended without any penalty. Is there any legal option for me?,chq-053,True
chq-053-v2,cheque,en,The buyer of my apartment gave a cheque of Rs 10 lakhs towards the down payment after signing the agreement to sell. It came back unpaid. He wants the agreement extended without any penalty. What should I do now?,chq-053,True
